#  id  name  ra  dec   id  logM_50  logSFR_50  logOH_50  tauV_50 logAGE_50 zzz_50 nn_50 VJ_50 UV_50 logM_16 logSFR_16 logOH_16 tauV_16 logAGE_16 zzz_16 nn_16 VJ_16 UV_16 logM_84 logSFR_84 logOH_84 tauV_84 logAGE_84 zzz_84 nn_84 VJ_84 UV_84
  14962  GSD11Tay 53.227093 -27.784353 14962 10.435 1.393  7.775 2.802 9.085 0.502 -0.609 1.244 1.398 10.334 0.407  7.346 1.894 8.79  0.458 -0.884 1.198  1.288 10.579 1.967  8.813 3.416 9.23  0.544 -0.468 1.292 1.469
  15316  2002fw   53.156521 -27.779661 15316 8.614  0.031  7.614 0.402 8.233 1.278 -0.583 0.17  0.436 8.545  -0.176 7.599 0.283 8.146 1.257 -0.828 0.05   0.363 8.665  0.135  8.424 0.427 8.307 1.298 -0.579 0.252 0.47 
  15591  GSD10Pri 53.158297 -27.777415 15591 8.87   0.403  7.708 0.246 7.873 1.739 -0.601 0.01  0.245 8.845  0.372  7.696 0.091 7.843 1.66  -0.733 -0.009 0.11  8.904  0.452  8.373 0.265 7.993 1.761 -0.598 0.028 0.265
  16531  2002hp   53.103346 -27.771642 16531 11.109 -0.038 8.426 1.784 9.373 1.261 -0.669 1.407 1.824 11.034 -0.497 7.523 1.529 9.315 1.223 -0.836 1.313  1.758 11.149 0.327  9.035 2.632 9.404 1.304 -0.64  1.435 1.844
  16622  GSD11Roo 53.131586 -27.770198 16622 9.373  0.418  7.858 0.42  8.76  0.655 -0.62  0.458 0.608 9.304  0.122  7.456 0.246 8.7   0.618 -0.906 0.437  0.493 9.461  0.491  8.623 0.964 8.906 0.678 -0.408 0.492 0.668
  18603  GSD11Har 53.127376 -27.755099 18603 10.555 1.149  8.263 0.987 8.957 0.644 -0.649 0.825 0.968 10.465 0.396  7.319 0.683 8.828 0.605 -0.837 0.789  0.899 10.629 1.488  9.138 2.274 9.081 0.676 -0.515 0.869 1.012
  18904  HST04Omb 53.105617 -27.750778 18904 9.273  0.748  7.388 0.091 8.333 0.973 -0.848 0.131 0.293 9.256  0.723  7.38  0.077 8.323 0.955 -0.851 0.118  0.279 9.29   0.772  7.396 0.104 8.344 0.99  -0.846 0.145 0.307
  19224  HST04Riv 53.135029 -27.748011 19224 8.742  0.068  7.635 0.987 8.911 0.663 -0.843 0.625 0.899 8.698  -0.157 7.191 0.914 8.842 0.645 -0.935 0.579  0.822 8.864  0.138  7.95  1.222 9.012 0.681 -0.451 0.661 0.949
  19729  2002fx   53.028417 -27.742872 19729 8.648  -0.058 7.761 0.224 8.21  1.55  -0.732 0.191 0.433 8.574  -0.702 7.26  0.131 7.987 1.485 -0.921 0.127  0.259 8.73   0.205  8.935 0.696 8.508 1.667 -0.496 0.249 0.499
  19962  2003al   53.022504 -27.74145  19962 9.749  0.336  8.598 1.164 8.729 1.03  -0.67  0.7   0.859 9.679  -0.527 7.446 0.602 8.573 1.006 -0.874 0.666  0.794 9.821  0.772  9.075 2.545 8.83  1.064 -0.418 0.736 0.908
  20219  2002kd   53.094129 -27.740503 20219 11.032 1.912  9.101 1.974 8.944 0.708 -0.672 1.224 1.154 10.905 1.15   7.983 1.586 8.741 0.659 -0.781 1.156  1.131 11.134 2.083  9.3   2.83  9.142 0.765 -0.468 1.27  1.259
  20227  HST05Zwi 53.190279 -27.740025 20227 9.635  0.734  8.564 0.583 8.924 0.513 -0.596 0.517 0.643 9.515  0.49   7.497 0.479 8.702 0.488 -0.895 0.484  0.532 9.779  0.913  8.773 0.695 9.043 0.546 -0.447 0.546 0.709
  20479  HST04Rak 53.075754 -27.736081 20479 8.787  -0.242 7.942 0.178 8.885 0.724 -0.684 0.412 0.597 8.748  -0.326 7.544 0.16  8.737 0.7   -0.687 0.376  0.567 8.889  -0.066 7.954 0.372 8.943 0.76  -0.635 0.432 0.659
  21695  2002hq   53.125113 -27.729833 21695 10.931 1.089  8.322 2.283 8.968 0.66  -0.669 0.999 1.135 10.831 0.609  7.365 1.32  8.856 0.62  -0.88  0.959  1.092 11.053 1.746  9.095 3.008 9.067 0.692 -0.454 1.037 1.161
  24093  2002kc   53.144758 -27.665936 24093 10.704 0.68   8.185 1.376 9.331 0.287 -0.716 1.029 1.268 10.548 0.253  7.464 0.765 9.23  0.236 -0.907 0.963  1.213 10.829 1.248  8.949 2.407 9.443 0.349 -0.502 1.101 1.329
  24539  HST04Sam 53.111008 -27.681267 24539 9.308  0.104  8.257 0.367 8.517 1.205 -0.576 0.433 0.609 9.257  -0.554 7.544 0.201 8.379 1.162 -0.798 0.381  0.52  9.391  0.382  9.016 0.89  8.672 1.24  -0.473 0.471 0.668
  25895  2002hr   53.094071 -27.697803 25895 8.172  -0.98  8.079 0.595 8.972 0.454 -0.611 0.551 0.748 8.101  -1.254 7.672 0.173 8.806 0.43  -0.933 0.502  0.694 8.233  -0.794 8.264 0.977 9.179 0.477 -0.414 0.591 0.834
  25920  2002fy   53.075525 -27.698761 25920 7.517  -0.385 7.894 1.022 8.335 0.71  -0.771 -0.22 0.781 7.486  -0.467 7.848 0.969 8.269 0.686 -0.855 -0.283 0.744 7.579  -0.334 7.99  1.141 8.378 0.731 -0.666 0.014 1.058
  26127  HST04Wil 53.054421 -27.701367 26127 9.746  0.393  7.94  0.66  9.001 0.452 -0.788 0.686 0.873 9.679  -0.0   7.242 0.26  8.899 0.42  -0.947 0.64   0.809 9.825  0.719  8.694 1.111 9.111 0.475 -0.494 0.717 0.918
