#   id name ra dec id logM_50 logSFR_50 logOH_50 tauV_50 logAGE_50 zzz_50 nn_50 VJ_50 UV_50 logM_16 logSFR_16 logOH_16 tauV_16 logAGE_16 zzz_16 nn_16 VJ_16 UV_16 logM_84 logSFR_84 logOH_84 tauV_84 logAGE_84 zzz_84 nn_84 VJ_84 UV_84
  8940   GND13war  189.228279 62.204611  8940  9.59   0.626  9.199 0.263 8.493 1.657 -0.962 0.506  0.524 9.563  0.588  9.156 0.242 8.477 1.63  -0.965 0.485  0.331  9.679  1.104  9.212 0.294 8.729 1.697 -0.448 0.577  0.545
  9381   HST05Red  189.256363 62.206897  9381  8.873  0.328  7.34  0.171 8.515 0.921 -0.867 0.176  0.413 8.853  0.299  7.331 0.156 8.504 0.904 -0.869 0.159  0.399  8.893  0.357  7.348 0.185 8.525 0.939 -0.864 0.195  0.428
  9507   HST05Bra  189.340683 62.207131  9507  9.92   -0.118 7.594 1.109 9.044 0.478 -0.726 0.938  1.095 9.852  -0.453 7.243 0.877 8.972 0.447 -0.952 0.894  1.056  9.999  0.49   8.921 2.372 9.145 0.516 -0.611 0.982  1.117
  9831   K0405-003 189.143525 62.203636  9831  10.988 2.793  9.183 2.995 8.638 0.458 -0.612 1.502  1.425 10.968 2.766  9.174 2.979 8.627 0.44  -0.614 1.487  1.411  11.007 2.821  9.193 3.011 8.65  0.475 -0.609 1.518  1.439
  9897   2003ea    189.300096 62.210647  9897  9.505  0.62   8.238 0.52  8.713 0.953 -0.6   0.448  0.585 9.433  0.269  7.569 0.313 8.58  0.914 -0.889 0.407  0.561  9.588  0.705  8.554 0.552 8.74  0.991 -0.411 0.48   0.668
  10190  HST05Pic  189.408188 62.212208  10190 9.272  -0.522 8.188 0.052 8.455 0.871 -0.6   0.252  0.534 9.254  -0.549 8.179 0.037 8.443 0.853 -0.602 0.237  0.52   9.29   -0.496 8.197 0.067 8.466 0.889 -0.598 0.266  0.549
  10335  2003ba    189.0663   62.210472  10335 10.183 0.271  7.663 0.121 9.252 0.303 -0.742 0.735  0.953 10.111 -0.057 7.291 0.047 9.169 0.284 -0.893 0.7    0.879  10.271 0.638  8.857 0.578 9.334 0.323 -0.502 0.769  0.994
  10453  HST05Kir  189.061979 62.214742  10453 8.406  -0.301 7.578 0.01  9.207 0.415 -0.601 -0.037 0.252 8.219  -0.333 7.125 0.01  8.792 0.391 -0.611 -0.065 0.239  8.429  -0.182 7.589 0.01  9.221 0.501 -0.598 -0.019 0.266
  10555  HST05Lan  189.236342 62.214692  10555 10.637 1.171  8.164 3.234 9.03  1.282 -0.467 0.98   1.182 10.619 1.147  8.155 3.22  9.02  1.264 -0.469 0.966  1.168  10.654 1.196  8.172 3.248 9.041 1.299 -0.465 0.994  1.196
  10652  HST04Con  189.284408 62.214928  10652 10.293 0.76   8.703 0.865 9.057 0.824 -0.521 0.891  0.951 10.223 0.123  7.809 0.495 8.939 0.802 -0.602 0.839  0.905  10.386 1.029  9.293 2.355 9.208 0.851 -0.482 0.94   1.024
  10988  HST04Tha  189.229796 62.217778  10988 10.443 -0.796 9.298 0.582 9.461 0.931 -0.587 1.214  1.701 10.42  -0.828 8.066 0.563 9.446 0.907 -0.59  1.145  1.673  10.478 -0.677 9.31  1.134 9.486 1.016 -0.431 1.233  1.719
  11074  HST05Cas  189.032363 62.219064  11074 8.575  0.121  7.841 0.905 8.779 0.664 -0.583 0.228  0.683 8.509  0.045  7.458 0.883 8.72  0.646 -0.624 0.202  0.646  8.671  0.356  7.854 1.139 8.803 0.681 -0.58  0.308  0.708
  11394  2003bd    189.354463 62.221553  11394 8.616  -0.579 8.111 0.334 8.091 3.428 -0.61  0.211  0.489 8.354  -1.549 7.419 0.114 7.891 3.388 -0.852 -0.028 0.276  8.806  0.163  8.853 1.262 8.269 3.463 -0.462 0.328  0.586
  11420  HST05Hol  189.329283 62.220956  11420 9.505  0.804  7.751 0.228 8.866 0.974 -0.707 0.271  0.353 9.356  0.726  7.436 0.202 8.582 0.956 -0.711 0.243  0.317  9.616  0.865  7.881 0.309 8.938 0.993 -0.611 0.307  0.412
  11595  2003es    189.23105  62.219883  11595 11.091 -0.455 9.109 0.534 9.515 0.973 -0.636 1.222  1.747 11.074 -0.479 9.101 0.52  9.505 0.955 -0.638 1.208  1.734  11.108 -0.431 9.117 0.548 9.526 0.99  -0.634 1.236  1.761
  12210  2003et    188.982758 62.225869  12210 10.002 2.203  9.038 1.771 7.801 1.321 -0.617 0.657  0.631 9.97   1.242  8.962 1.039 7.782 1.273 -0.621 0.641  0.605  10.406 2.249  9.217 1.796 8.679 1.347 -0.473 0.674  0.771
  12327  2003eb    189.312913 62.226294  12327 9.566  0.501  8.687 0.447 8.736 0.873 -0.655 0.49   0.624 9.509  0.11   7.876 0.296 8.685 0.853 -0.71  0.426  0.55   9.631  0.58   8.845 0.501 8.797 0.893 -0.461 0.508  0.693
  12525  HST04Eag  189.337038 62.228072  12525 9.848  0.814  8.245 0.68  8.658 1.026 -0.973 0.607  0.805 9.815  -0.217 7.213 0.456 8.521 1.004 -0.987 0.573  0.743  9.896  0.913  8.985 2.22  8.73  1.047 -0.643 0.631  0.844
  12651  2003en    189.138121 62.229906  12651 8.539  -0.21  7.618 0.332 8.879 0.691 -0.96  0.315  0.517 8.506  -0.257 7.601 0.318 8.869 0.655 -0.965 0.265  0.487  8.575  -0.158 7.829 0.346 8.89  0.725 -0.956 0.341  0.543
  13125  GND12bre  189.231332 62.2329993 13125 8.322  -0.088 7.413 0.088 8.692 1.384 -0.806 0.116  0.12  8.294  -0.127 7.403 0.073 8.663 1.366 -0.809 0.084  0.083  8.362  -0.032 7.422 0.104 8.706 1.402 -0.804 0.145  0.142
  13556  GND13she  189.041279 62.234942  13556 9.217  0.148  8.185 0.534 9.061 0.458 -0.61  0.596  0.679 9.138  0.012  7.671 0.406 8.965 0.439 -0.79  0.537  0.462  9.322  0.259  8.499 0.686 9.185 0.476 -0.415 0.643  0.754
  13598  K0405-010 189.469496 62.235592  13598 9.448  0.08   8.032 0.677 8.833 0.72  -0.561 0.573  0.739 9.407  0.01   7.689 0.326 8.733 0.699 -0.784 0.537  0.719  9.568  0.477  8.685 0.845 8.979 0.74  -0.407 0.6    0.77 
  14881  HST05Sev  189.432388 62.243919  14881 9.017  -1.008 8.33  0.167 8.516 0.922 -0.896 0.251  0.529 8.996  -1.041 8.211 0.11  8.503 0.904 -0.899 0.234  0.401  9.039  0.249  8.341 0.184 8.528 0.94  -0.805 0.267  0.547
  15153  2002kh    189.07025  62.243706  15153 10.535 2.162  9.182 2.791 8.909 0.509 -0.564 1.424  1.343 10.518 2.138  9.174 2.777 8.899 0.492 -0.566 1.411  1.33   10.553 2.186  9.19  2.805 8.919 0.527 -0.562 1.438  1.357
